high frequency data, created:, 12-Jun-2019
GC-MD, Cape Grim, Tasmania, Lat.:, -40.68, 40.68S, Lon.:, 144.69, 144.69E, Alt:, 94, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: paul.krummel@csiro.au; paul.fraser@csiro.au; raywang@eas.gatech.edu 

scale:, --, --, --, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-16, --, SIO-05, --, Tohoku-Uni, --, SIO-98, --, CSIRO94, --, MPI-2009, --
unit:, --, --, --, --, ppt, --, ppt, --, ppt, --, ppt, --, ppb, --, ppt, --, ppb, --, ppt, --, ppb, --, ppb, --
mm/dd/yyyy hh:mm, year, month, day, hour, min, CFC-11, flag, CFC-12, flag, CH3CCl3, flag, CCl4, flag, N2O, flag, CFC-113, flag, CH4, flag, CHCl3, flag, CO, flag, H2 flag
01/01/2010 00:23, 2010, 1, 1, 0, 23, 239.760, , 533.002, , 8.224, , 86.278, , 322.877, , 75.625, , 1736.130, , 4.646, , -99.990, , 545.647, 
01/01/2010 01:03, 2010, 1, 1, 1, 3, 239.266, , 532.433, , 8.267, , 86.254, , 322.576, , 75.452, , 1735.814, , 4.895, , -99.990, , 544.131, 
01/01/2010 01:43, 2010, 1, 1, 1, 43, 239.714, , 532.560, , 7.988, , 85.927, , 322.898, , 75.392, , 1736.302, , 4.560, , -99.990, , 548.109, 
01/01/2010 02:23, 2010, 1, 1, 2, 23, 239.800, , 533.076, , 8.428, , 86.486, , 323.026, , 75.405, , 1736.705, , 4.600, , -99.990, , 544.231, 
01/01/2010 03:03, 2010, 1, 1, 3, 3, 239.508, , 532.462, , 8.074, , 86.494, , 322.882, , 75.381, , 1735.795, , 4.537, , -99.990, , 544.425, 
01/01/2010 03:43, 2010, 1, 1, 3, 43, 239.579, , 532.478, , 7.878, , 86.189, , 322.897, , 75.471, , 1735.954, , 4.833, , -99.990, , 544.678, 
01/01/2010 04:23, 2010, 1, 1, 4, 23, 239.636, , 531.951, , 7.962, , 86.143, , 322.685, , 75.357, , 1736.440, , 4.576, , -99.990, , 543.266, 
01/01/2010 05:03, 2010, 1, 1, 5, 3, 239.531, , 532.395, , 8.504, , 86.274, , 322.754, , 75.659, , 1736.214, , 5.102, , -99.990, , 545.007, 
01/01/2010 05:43, 2010, 1, 1, 5, 43, 239.766, , 533.008, , 8.465, , 86.306, , 322.949, , 75.678, , 1735.090, , 4.801, , -99.990, , 544.744, 
01/01/2010 06:23, 2010, 1, 1, 6, 23, 239.520, , 532.556, , 8.222, , 85.941, , 322.822, , 75.503, , 1735.995, , 5.003, , -99.990, , 544.460, 
01/01/2010 07:03, 2010, 1, 1, 7, 3, 239.685, , 533.184, , 8.317, , 86.289, , 323.009, , 75.656, , 1736.787, , 4.655, , -99.990, , 546.114, 
01/01/2010 07:43, 2010, 1, 1, 7, 43, 239.613, , 532.875, , 8.066, , 86.258, , 322.923, , 75.660, , 1736.739, , 4.883, , -99.990, , 545.286, 
