high frequency data, created:, 12-Jun-2019
GC-MD, Cape Grim, Tasmania, Lat.:, -40.68, 40.68S, Lon.:, 144.69, 144.69E, Alt:, 94, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: paul.krummel@csiro.au; paul.fraser@csiro.au; raywang@eas.gatech.edu 

scale:, --, --, --, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-16, --, SIO-05, --, Tohoku-Uni, --, SIO-98, --, CSIRO94, --, MPI-2009, --
unit:, --, --, --, --, ppt, --, ppt, --, ppt, --, ppt, --, ppb, --, ppt, --, ppb, --, ppt, --, ppb, --, ppb, --
mm/dd/yyyy hh:mm, year, month, day, hour, min, CFC-11, flag, CFC-12, flag, CH3CCl3, flag, CCl4, flag, N2O, flag, CFC-113, flag, CH4, flag, CHCl3, flag, CO, flag, H2 flag
01/01/1995 01:16, 1995, 1, 1, 1, 16, 262.227, , 516.932, , 103.374, , 100.387, , 311.214, , 82.190, , 1692.949, , 5.530, , 46.706, , 555.467, 
01/01/1995 02:36, 1995, 1, 1, 2, 36, 262.261, , 517.110, , 102.721, , 100.835, , 311.048, , 82.069, , 1692.719, , 5.363, , 47.028, , 544.904, 
01/01/1995 03:56, 1995, 1, 1, 3, 56, 262.374, , 517.482, , 103.664, , 101.031, , 310.929, , 83.058, , 1693.641, , 5.586, , 47.029, , 543.813, 
01/01/1995 05:16, 1995, 1, 1, 5, 16, 262.244, , 516.754, , 102.488, , 100.595, , 310.434, , 82.548, , 1695.798, , 5.581, , 47.060, , 543.698, 
01/01/1995 06:36, 1995, 1, 1, 6, 36, 262.448, , 517.162, , , , 101.364, , 310.724, , 82.881, , 1693.063, , 5.414, , 46.984, , 529.322, 
01/01/1995 07:57, 1995, 1, 1, 7, 57, 262.053, , 516.936, , 104.624, , 101.127, , 310.945, , 82.271, , 1693.483, , , , 47.063, , 538.799, 
01/01/1995 09:17, 1995, 1, 1, 9, 17, 262.116, , 516.880, , 102.607, , 101.094, , 311.017, , 82.832, , 1694.526, , 6.255, , 46.892, , 541.206, 
01/01/1995 10:37, 1995, 1, 1, 10, 37, 262.638, , 517.234, , 103.733, , 100.643, , 310.993, , 82.353, , 1695.090, , 6.752, , 46.491, , 544.115, 
01/01/1995 11:57, 1995, 1, 1, 11, 57, , , 516.924, , 103.278, , 100.877, , 310.735, , 82.638, , 1694.304, , 7.182, P, 47.178, , 537.820, 
01/01/1995 13:17, 1995, 1, 1, 13, 17, 262.536, , 516.988, , 102.801, , 101.016, , 310.575, , 82.679, , 1696.397, , 9.325, P, 46.235, , 539.528, 
01/01/1995 13:57, 1995, 1, 1, 13, 57, 262.425, , 517.483, , 102.838, , 100.929, , 310.910, , 82.523, , 1694.723, , 11.863, P, 46.489, , 533.709, 
01/01/1995 14:37, 1995, 1, 1, 14, 37, 262.332, , 516.842, , 103.530, , 100.939, , 310.803, , 82.729, , 1696.929, , 11.954, P, 46.522, , 530.821, 
01/01/1995 15:17, 1995, 1, 1, 15, 17, 262.299, , 517.131, , 104.201, , 101.189, , 311.002, , 82.540, , 1694.805, , 8.997, P, 46.718, , 528.295, 
