high frequency data, created:, 12-Jun-2019
GC-MD, Mace Head, Ireland, Lat.:, 53.33, 53.33N, Lon.:, -9.9, 9.9W, Alt:, 5, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: s.odoherty@bristol.ac.uk; dickon.young@bristol.ac.uk; raywang@eas.gatech.edu 

scale:, --, --, --, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-16, --, SIO-05, --, Tohoku-Uni, --, SIO-98, --, CSIRO94, --, MPI-2009, --
unit:, --, --, --, --, ppt, --, ppt, --, ppt, --, ppt, --, ppb, --, ppt, --, ppb, --, ppt, --, ppb, --, ppb, --
mm/dd/yyyy hh:mm, year, month, day, hour, min, CFC-11, flag, CFC-12, flag, CH3CCl3, flag, CCl4, flag, N2O, flag, CFC-113, flag, CH4, flag, CHCl3, flag, CO, flag, H2 flag
01/01/2014 00:10, 2014, 1, 1, 0, 10, , , , , , , , , , , -99.990, , , , , , , , , 
01/01/2014 01:30, 2014, 1, 1, 1, 30, , , , , , , , , , , -99.990, , 1906.036, , , , 125.873, , 507.050, 
01/01/2014 02:10, 2014, 1, 1, 2, 10, , , , , 3.766, , 82.938, , , , -99.990, , 1908.005, , 14.321, , 126.062, , 504.807, 
01/01/2014 02:50, 2014, 1, 1, 2, 50, 234.819, , 523.690, , 4.657, , 83.364, , 327.742, , -99.990, , 1903.201, , 14.313, , 127.469, , 505.013, 
01/01/2014 03:30, 2014, 1, 1, 3, 30, 234.686, , 523.749, , 4.375, , 83.197, , 327.471, , -99.990, , 1919.284, P, 15.911, P, 131.971, P, 504.108, 
01/01/2014 04:10, 2014, 1, 1, 4, 10, 234.056, , 523.124, , 4.177, , 83.182, , 327.637, , -99.990, , 1922.621, P, 16.879, P, 132.331, P, 507.235, 
01/01/2014 04:50, 2014, 1, 1, 4, 50, 234.581, , 523.318, , 4.476, , 83.173, , 327.634, , -99.990, , 1919.246, P, 16.655, P, 130.796, P, 502.816, 
01/01/2014 05:30, 2014, 1, 1, 5, 30, 234.797, , 523.089, , 4.248, , 83.246, , 328.007, P, -99.990, , 1927.161, P, 18.570, P, 131.710, P, 496.766, P
01/01/2014 06:10, 2014, 1, 1, 6, 10, 234.433, , 523.242, , 4.418, , 83.334, , 327.850, , -99.990, , 1934.159, P, 17.893, P, 133.322, P, 498.287, P
01/01/2014 06:50, 2014, 1, 1, 6, 50, 234.328, , 523.366, , 4.275, , 83.177, , 327.954, , -99.990, , 1940.388, P, 17.038, P, 135.423, P, 503.295, 
