high frequency data, created:, 12-Jun-2019
GC-MD, Mace Head, Ireland, Lat.:, 53.33, 53.33N, Lon.:, -9.9, 9.9W, Alt:, 5, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: s.odoherty@bristol.ac.uk; dickon.young@bristol.ac.uk; raywang@eas.gatech.edu 

scale:, --, --, --, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-16, --, SIO-05, --, Tohoku-Uni, --, SIO-98, --, CSIRO94, --, MPI-2009, --
unit:, --, --, --, --, ppt, --, ppt, --, ppt, --, ppt, --, ppb, --, ppt, --, ppb, --, ppt, --, ppb, --, ppb, --
mm/dd/yyyy hh:mm, year, month, day, hour, min, CFC-11, flag, CFC-12, flag, CH3CCl3, flag, CCl4, flag, N2O, flag, CFC-113, flag, CH4, flag, CHCl3, flag, CO, flag, H2 flag
01/01/2016 00:01, 2016, 1, 1, 0, 1, , , , , -99.990, , , , , , -99.990, , , , , , , , , 
01/01/2016 01:22, 2016, 1, 1, 1, 22, , , , , -99.990, , , , , , -99.990, , 1928.970, , , , 133.493, , 501.223, 
01/01/2016 02:02, 2016, 1, 1, 2, 2, , , , , -99.990, , 80.391, , , , -99.990, , 1939.550, , 17.141, , 138.534, , 499.376, 
01/01/2016 02:42, 2016, 1, 1, 2, 42, 231.734, , 517.374, , -99.990, , 81.288, , 329.639, , -99.990, , 1935.667, , 17.635, , 136.590, , 501.667, 
01/01/2016 03:22, 2016, 1, 1, 3, 22, 231.830, , 517.939, , -99.990, , 81.643, , 329.637, , -99.990, , 1931.905, , 16.468, , 134.435, , 504.680, 
01/01/2016 04:02, 2016, 1, 1, 4, 2, 231.648, , 517.922, , -99.990, , 81.244, , 329.794, , -99.990, , 1937.102, , 17.724, , 136.604, , 498.556, 
01/01/2016 04:42, 2016, 1, 1, 4, 42, 231.805, , 516.497, , -99.990, , 81.766, , 329.339, , -99.990, , 1936.235, , 17.075, , 135.993, , 500.998, 
01/01/2016 05:22, 2016, 1, 1, 5, 22, 231.746, , 517.562, , -99.990, , 80.807, , 329.867, , -99.990, , 1941.384, , 17.748, , 135.883, , 501.391, 
01/01/2016 06:02, 2016, 1, 1, 6, 2, 231.594, , 516.700, , -99.990, , 80.572, , 328.640, , -99.990, , 1966.545, P, 17.743, , 143.897, , 496.628, 
01/01/2016 06:42, 2016, 1, 1, 6, 42, 231.694, , 517.473, , -99.990, , 81.169, , 329.674, , -99.990, , 1999.004, P, 18.706, P, 159.439, P, 497.874, 
01/01/2016 07:22, 2016, 1, 1, 7, 22, 231.469, , 517.887, , -99.990, , 81.891, , 330.230, , -99.990, , 1969.944, P, 17.804, , 146.471, P, 495.131, 
01/01/2016 08:02, 2016, 1, 1, 8, 2, 231.831, , 517.423, , -99.990, , 81.237, , 330.155, , -99.990, , 1957.962, P, 17.679, , 140.449, , 500.402, 
01/01/2016 08:42, 2016, 1, 1, 8, 42, 232.140, , 517.804, , -99.990, , 81.638, , 329.659, , -99.990, , 1952.303, P, 18.133, , 136.700, , 497.309, 
01/01/2016 09:22, 2016, 1, 1, 9, 22, 231.777, , 518.055, , -99.990, , 81.144, , 329.645, , -99.990, , 1950.742, P, 19.547, P, 136.902, , 495.684, 
01/01/2016 10:02, 2016, 1, 1, 10, 2, 231.839, , 517.141, , -99.990, , 81.281, , 328.607, , -99.990, , 1958.070, P, 19.219, P, 137.602, , 492.332, 
01/01/2016 10:42, 2016, 1, 1, 10, 42, 231.684, , 517.766, , -99.990, , 81.490, , 330.101, , -99.990, , 1966.829, P, 18.135, , 139.764, , 496.937, 
01/01/2016 11:22, 2016, 1, 1, 11, 22, 232.181, , 517.216, , -99.990, , 81.703, , 330.086, , -99.990, , 1975.146, P, 19.505, , 141.869, , 497.410, 
01/01/2016 12:02, 2016, 1, 1, 12, 2, 231.774, , 517.530, , -99.990, , , , 329.638, , -99.990, , 1965.111, P, 19.270, , 140.198, , 499.358, 
01/01/2016 12:42, 2016, 1, 1, 12, 42, 231.597, , 517.766, , -99.990, , 80.989, , 330.290, , -99.990, , 1940.435, , 18.559, , 137.119, , 499.537, 
01/01/2016 13:22, 2016, 1, 1, 13, 22, 231.525, , 517.141, , -99.990, , 81.408, , 329.051, , -99.990, , 1936.301, , 18.259, , 139.064, , 500.931, 
01/01/2016 14:02, 2016, 1, 1, 14, 2, 231.427, , 518.019, , -99.990, , 81.028, , 329.731, , -99.990, , 1936.231, , 17.390, , 139.642, , 501.756, 
01/01/2016 14:42, 2016, 1, 1, 14, 42, 231.383, , 517.867, , -99.990, , 81.262, , 329.504, , -99.990, , 1931.634, , 17.278, , 134.277, , 501.845, 
01/01/2016 15:22, 2016, 1, 1, 15, 22, 231.908, , 517.157, , -99.990, , 81.374, , 329.194, , -99.990, , 1936.416, , 17.911, , 136.340, , 499.130, 
01/01/2016 16:02, 2016, 1, 1, 16, 2, 231.910, , 516.677, , -99.990, , 80.751, , 329.228, , -99.990, , 1934.287, , 17.233, , 135.702, , 504.267, 
01/01/2016 16:42, 2016, 1, 1, 16, 42, 231.557, , 518.214, , -99.990, , 80.637, , 330.019, , -99.990, , 1929.787, , 16.691, , 133.926, , 511.792, 
01/01/2016 17:22, 2016, 1, 1, 17, 22, 231.586, , 517.426, , -99.990, , 80.839, , 329.571, , -99.990, , 1920.936, , 15.981, , 131.800, , 517.178, 
01/01/2016 18:02, 2016, 1, 1, 18, 2, 231.720, , 517.872, , -99.990, , 81.498, , 329.612, , -99.990, , , , 16.145, , 131.017, , 515.981, 
01/01/2016 18:42, 2016, 1, 1, 18, 42, 231.615, , 517.750, , -99.990, , 81.172, , 329.829, , -99.990, , , , 16.465, , 132.851, , 517.170, 
01/01/2016 19:22, 2016, 1, 1, 19, 22, 231.266, , 517.346, , -99.990, , 81.273, , 329.583, , -99.990, , 1924.384, , 17.046, , 132.939, , 515.953, 
01/01/2016 20:02, 2016, 1, 1, 20, 2, 231.486, , 517.714, , -99.990, , 81.220, , 329.582, , -99.990, , 1923.931, , 17.238, , 132.253, , 511.590, 
01/01/2016 20:42, 2016, 1, 1, 20, 42, 231.807, , 517.548, , -99.990, , 81.221, , 329.443, , -99.990, , , , 17.126, , 135.607, , 509.520, 
01/01/2016 21:22, 2016, 1, 1, 21, 22, 231.690, , 517.456, , -99.990, , 81.247, , 329.499, , -99.990, , 1926.373, , 18.377, P, 135.877, , 513.601, 
01/01/2016 22:02, 2016, 1, 1, 22, 2, 231.757, , 517.682, , -99.990, , 80.654, , 329.801, , -99.990, , 1938.606, , 19.033, P, 139.495, , 506.391, 
01/01/2016 22:42, 2016, 1, 1, 22, 42, 231.669, , 517.269, , -99.990, , 80.701, , , , -99.990, , 1945.098, , 20.105, P, 143.513, , 508.120, 
01/01/2016 23:22, 2016, 1, 1, 23, 22, 231.989, , 518.203, , -99.990, , 80.175, , , , -99.990, , 1953.259, P, 20.485, P, 149.487, P, 507.360, 
01/02/2016 00:02, 2016, 1, 2, 0, 2, 231.895, , 517.584, , -99.990, , , , , , -99.990, , 1954.350, P, 20.164, P, 151.077, P, 507.926, 
01/02/2016 01:22, 2016, 1, 2, 1, 22, , , , , -99.990, , , , , , -99.990, , 1961.881, P, , , 145.285, , 505.803, 
01/02/2016 02:02, 2016, 1, 2, 2, 2, , , , , -99.990, , 81.375, , , , -99.990, , 1962.968, P, 21.107, P, 144.366, , 505.708, 
01/02/2016 02:42, 2016, 1, 2, 2, 42, 231.684, , 517.448, , -99.990, , 81.337, , 329.611, , -99.990, , 1960.553, P, 20.078, P, 142.784, , 505.241, 
01/02/2016 03:22, 2016, 1, 2, 3, 22, 231.661, , 517.093, , -99.990, , 81.021, , 329.683, , -99.990, , 1961.916, P, 21.485, P, 142.838, , 508.746, 
01/02/2016 04:02, 2016, 1, 2, 4, 2, 231.848, , 518.302, , -99.990, , 81.213, , 330.748, , -99.990, , 1962.526, P, 22.525, P, 142.464, , 502.476, 
01/02/2016 04:42, 2016, 1, 2, 4, 42, 231.522, , 517.716, , -99.990, , 80.513, , 330.395, , -99.990, , 1957.909, P, 19.311, P, 143.408, , 508.474, 
