high frequency data, created:, 12-Jun-2019
GC-MD, Cape Grim, Tasmania, Lat.:, -40.68, 40.68S, Lon.:, 144.69, 144.69E, Alt:, 94, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: paul.krummel@csiro.au; paul.fraser@csiro.au; raywang@eas.gatech.edu 

scale:, --, --, --, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-16, --, SIO-05, --, Tohoku-Uni, --, SIO-98, --, CSIRO94, --, MPI-2009, --
unit:, --, --, --, --, ppt, --, ppt, --, ppt, --, ppt, --, ppb, --, ppt, --, ppb, --, ppt, --, ppb, --, ppb, --
mm/dd/yyyy hh:mm, year, month, day, hour, min, CFC-11, flag, CFC-12, flag, CH3CCl3, flag, CCl4, flag, N2O, flag, CFC-113, flag, CH4, flag, CHCl3, flag, CO, flag, H2 flag
01/01/2005 20:53, 2005, 1, 1, 20, 53, , , , , , , , , , , , , 1722.987, , , , -99.990, , 554.487, 
01/01/2005 21:33, 2005, 1, 1, 21, 33, , , , , , , , , , , , , 1723.669, , 5.092, , -99.990, , 547.959, 
01/01/2005 22:13, 2005, 1, 1, 22, 13, , , , , , , , , , , , , 1723.014, , 4.457, , -99.990, , 545.692, 
01/01/2005 22:53, 2005, 1, 1, 22, 53, , , , , 20.160, , 91.146, , , , 79.045, , 1723.010, , 4.785, , -99.990, , 543.199, 
01/01/2005 23:33, 2005, 1, 1, 23, 33, , , , , , , 91.259, , , , 78.751, , 1724.447, , 4.989, , -99.990, , 549.539, 
01/02/2005 00:13, 2005, 1, 2, 0, 13, 248.938, , , , , , 91.424, , , , 78.777, , 1720.972, , 5.155, , -99.990, , 557.819, 
01/02/2005 00:53, 2005, 1, 2, 0, 53, 248.929, , , , 19.945, , 91.793, , , , 78.966, , 1722.892, , 4.747, , -99.990, , 561.890, 
01/02/2005 01:33, 2005, 1, 2, 1, 33, 248.858, , , , 20.394, , 91.654, , , , 78.615, , 1722.848, , 4.642, , -99.990, , 546.782, 
01/02/2005 02:13, 2005, 1, 2, 2, 13, 249.001, , , , 20.281, , 91.734, , , , 78.930, , 1721.602, , 4.778, , -99.990, , 547.263, 
01/02/2005 02:53, 2005, 1, 2, 2, 53, 249.180, , , , 20.415, , 91.596, , , , 78.918, , 1721.850, , 4.684, , -99.990, , 550.335, 
01/02/2005 03:33, 2005, 1, 2, 3, 33, 249.202, , , , 20.498, , 91.719, , , , 78.841, , 1722.053, , 4.959, , -99.990, , 560.677, 
01/02/2005 04:13, 2005, 1, 2, 4, 13, 248.966, , , , 20.343, , 91.710, , 318.793, , 78.902, , 1722.340, , 4.580, , -99.990, , 551.532, 
01/02/2005 04:53, 2005, 1, 2, 4, 53, 248.894, , , , 19.984, , 91.803, , , , 78.841, , 1722.833, , 4.669, , -99.990, , 544.889, 
01/02/2005 05:33, 2005, 1, 2, 5, 33, 248.786, , , , 19.347, , 91.513, , , , 78.679, , 1722.098, , 4.553, , -99.990, , 553.732, 
01/02/2005 06:13, 2005, 1, 2, 6, 13, 248.775, , , , 19.977, , 91.289, , , , 78.894, , 1720.934, , 4.869, , -99.990, , 551.384, 
01/02/2005 06:53, 2005, 1, 2, 6, 53, 248.934, , , , 19.785, , 91.586, , 318.651, , 79.074, , 1721.313, , 5.093, , -99.990, , 555.325, 
01/02/2005 07:33, 2005, 1, 2, 7, 33, 248.881, , , , , , 91.483, , , , 78.978, , 1721.002, , 4.422, , -99.990, , 542.189, 
01/02/2005 08:13, 2005, 1, 2, 8, 13, 248.908, , , , , , 91.621, , , , 78.879, , 1720.958, , 4.693, , -99.990, , 562.962, 
01/02/2005 08:53, 2005, 1, 2, 8, 53, 248.445, , , , 20.483, , 91.473, , , , 78.276, , 1722.087, , 4.815, , -99.990, , 558.927, 
